,1AO_1,1AO_5,1AO_3,1AO_29,1AC_7,1AC_9,1AC_8,1AC_33,1NO_13,1NO_15,1NO_17,1NO_37,1NC_19,1NC_20,1NC_21,1NC_43
asv06592,0,0,0,0,0,0,0.101654942,0,0,0,0,0,0,0,0,0
asv16877,0,0,0,0,0,0,0.077257756,0,0,0,0,0,0,0,0,0
asv22566,0.030063733,0.036204089,0.029330001,0,0,0,0,0,0.095668387,0.198588614,0,0.023750799,0,0,0,0
asv24516,0,0,0,0,0,0,0,0.087567208,0,0.009653131,0,0,0,0,0,0
asv25516,0.024147384,0.022710131,0,0,0.080991334,0.04838021,0.12334133,0,0,0,0.164211317,0,0,0,0,0
asv37467,0.039772162,0.098050239,0.029330001,0,0,0,0.609929655,0,0,0,0,0.449438202,0.012130939,0.284249287,0,0
asv41458,0.03266999,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132052147,0
asv43732,0,0,0,0,0,0,0,0,0,0,0.087579369,0,0.051764835,0,0,0
asv47161,0.04852938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asv07282,0,0,0,0,0,0,0,0,0,0,0,0.010961907,0,0,0,0
asv14076,0,0,0,0,0,0.028421085,0,0.028021507,0,0,0,0,0,0,0,0
asv18642,0,0.058427619,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asv22253,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018861282,0,0
asv29910,0.030539339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021068895
asv33939,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015089025,0,0
asv14430,0,0.013614068,0,0,0,0,0.040661977,0,0,0,0,0,0,0,0,0
asv19898,0,0,0,0,0,0.011810881,0.033884981,0.196150546,0,0,0,0,0,0,0,0.101832994
asv00603,0.037018756,0.009685837,0,0,0,0.048693927,0,0.239934149,0.004876554,0,0.042225767,0.031058738,0.098949939,0.022633538,0.047763542,0.107100218
asv01830,0,0,0,0,0,0,0,0,0,0,0,0.042020645,0,0.026047606,0,0
asv06929,0.013791301,0,0,0,0,0.291617584,0,0.068302422,0,0,0,0,0,0,0.016857721,0
asv12185,0,0,0,0,0,0,0,0,0,0,0.010947421,0,0.046202804,0,0,0
asv12417,0.032663608,0.041881622,0,0,0,0,0,0,0.005573204,0,0,0,0,0,0,0.042137791
asv18977,0,0,0,0,0,0,0,0,0,0,0.043789684,0,0,0,0,0
asv25917,0,0.112983982,0,0,0,0,0,0.031524195,0,0,0,0,0,0,0,0
asv26537,0,0,0,0,0,0,0.180268098,0,0,0,0,0,0,0,0,0
asv33960,0,0,0,0,0,0,0,0,0.048414066,0,0,0,0,0,0,0
asv35320,0,0,0,0,0,0.16056121,0,0.04203226,0,0,0,0,0,0,0,0
asv35605,0,0,0,0,0,0.036544913,0,0,0,0,0,0,0,0,0,0
asv40468,0,0,0,0,0.045393104,0,0.009487795,0,0,0,0,0,0,0,0,0
asv41282,0.097990825,0,0.029330001,0.032234792,0,0,0,0.033275539,0.006604729,0,0,0,0,0,0.030905822,0
asv52442,0,0.057388201,0.043357392,0,0.043434129,0.028563684,0.12334133,0,0.106432406,0.057588453,0.029714429,0,0.03867617,0.035269094,0.064621263,0.029847602
asv53813,0.069682365,0,0,0,0,0,0.014909392,0,0,0,0,0,0,0,0,0
asv54222,0,0,0,0.498871782,0,0,0,0,0,0,0.131369053,0,0,0.013413302,0.089907844,0
asv21681,0.007984438,0.036120935,0.028054783,0.052189663,0.046493241,0.040716802,0.085390152,0.043783604,0.117078511,0.023736267,0.0813237,0.04019366,0.10581376,0.11610459,0.238817712,0.175574127
asv08598,0,0,0,0.00767495,0.015185875,0,0,0,0,0,0.012511338,0,0,0,0,0
asv36489,0,0,0,0,0.004034943,0.003634117,0,0,0,0,0,0,0,0,0.00842886,0
asv01042,0.039772162,0.03162603,0,0.050654673,0.041508059,0.022489177,0,0,0.033757504,0,0.142316474,0.10413812,0.042359615,0.07952172,0,0
asv16357,0.090003511,0,0,0.033769782,0,0.015929834,0,0.157620974,0.030822069,0.018366148,0.136060805,0.065771444,0.057253138,0.039281813,0,0
asv46603,0.263699659,0.02563898,0.036981305,0.052189663,0.021183449,0.106473147,0.066414562,0,0.112201958,0.092749045,0.148572144,0.184525441,0.12283089,0.166645562,0.109575185,0.059695203
asv03566,0.011613727,0,0.006376087,0,0,0,0,0.031524195,0.002089952,0,0.014075256,0,0,0.002874279,0,0
asv40380,0,0.00227902,0,0,0,0.005451176,0,0.026270162,0,0,0,0,0.004665746,0.007544513,0,0
asv24881,0,0,0,0,0.007086742,0,0.020330988,0,0,0,0,0,0,0,0,0
asv31766,0,0,0.020403479,0.026094832,0.02320092,0.048665407,0.031174182,0.033275539,0.015623977,0,0.039097933,0.049328583,0.064890363,0.09149475,0.056192403,0
asv36959,0,0.004558041,0,0,0,0,0,0.033275539,0,0,0,0,0,0.01005935,0,0
asv12955,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017245674,0,0
asv47734,0,0,0,0,0,0,0,0,0,0,0,0,0.012892057,0,0,0
asv50914,0.003551086,0.009116082,0.025504348,0,0,0.008176763,0,0,0,0,0.01720309,0,0.013064089,0.005748558,0,0
asv14107,0,0,0,0,0,0,0,0,0,0.002754922,0,0,0,0,0.059002023,0
asv16067,0,0,0,0,0,0,0.033884981,0,0,0,0,0.012788892,0,0,0,0
asv49002,0,0,0,0,0.031300053,0,0,0,0,0,0,0,0.032525054,0.030838071,0,0
asv06174,0.013791301,0.020024583,0,0.016884891,0,0.011244589,0,0,0.052593969,0.011798271,0,0.005480954,0.02035725,0,0,0
asv07173,0,0.006024006,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asv04893,0,0,0.010201739,0,0,0,0,0,0.007663156,0,0,0.010961907,0,0,0,0
asv29652,0.035573422,0.005271005,0,0,0.008069885,0,0.010843194,0,0,0,0,0,0.010264641,0,0.019667341,0
asv05996,0,0,0,0.00767495,0,0,0,0,0,0,0,0,0,0.007664744,0,0
asv07640,0,0,0,0,0.009078621,0,0,0,0,0,0,0.014615876,0,0,0,0.026336119
asv09657,0.027807956,0.009116082,0,0.015349901,0,0,0,0,0.048637316,0.010725701,0,0.023750799,0,0,0,0
asv10168,0,0.007976572,0,0,0,0,0,0,0.011146408,0,0,0,0,0,0,0
asv18693,0,0,0,0.00460497,0,0,0,0,0.002201576,0,0.012511338,0,0.019387237,0.015329488,0,0.007022965
asv25934,0,0.011295011,0.008926522,0.026094832,0,0,0,0,0,0.009653131,0,0,0.035913586,0,0,0
asv32959,0,0.00113951,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asv33867,0,0.009789009,0,0,0,0.017547254,0.025752585,0,0.004403153,0,0.012511338,0,0.041733666,0.038382583,0.028096201,0
asv16989,0.174931769,0.05891422,0.062485654,0.061399604,0.043423161,0.055566988,0.024397186,0.196150546,0.052631177,0.027409496,0.082887617,0.107792089,0.073337858,0.118141007,0.109575185,0.036870567
asv44839,0,0,0,0,0,0,0.002710798,0,0,0,0.009383504,0,0.013948086,0,0.016857721,0
asv51369,0,0,0,0,0,0,0,0,0,0,0,0,0.009208612,0.01916186,0,0
asv55781,0,0,0,0,0,0,0,0,0,0,0.01720309,0,0,0,0,0
asv38829,0.009943041,0,0,0,0,0,0,0,0.006269855,0,0,0.012788892,0,0,0,0
asv25938,0.073646493,0.155252113,0.090540437,0.136614119,0.145451703,0.211023363,0.082679353,0.24869087,0.14101478,0.089398879,0.184542241,0.182698456,0.192019098,0.366640274,0.300629355,0.128169113
asv21968,0,0,0,0.00767495,0,0,0,0,0.00587087,0,0,0,0,0,0,0
asv15631,0.013791301,0,0,0,0,0,0,0.028021507,0,0,0,0,0,0.005029675,0,0
asv06140,0.020324023,0.002848776,0,0,0,0,0,0,0.013608442,0,0,0.009134923,0,0,0,0
asv26897,0.018465647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asv23966,0.004355148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asv34394,0,0,0,0,0,0.002811147,0,0,0,0,0,0,0,0,0,0
asv36360,0,0.010948538,0,0,0,0,0,0,0,0.00536285,0.010947421,0,0.006446028,0.019041629,0,0.010534448
asv46112,0,0,0,0,0,0,0,0.005254032,0,0,0,0,0,0,0,0
asv27406,0,0,0.00510087,0.010744931,0,0,0,0,0,0,0,0,0,0.003772256,0,0
asv25480,0,0.002848776,0.007651305,0,0.004034943,0.003634117,0,0.026270162,0.006269855,0.004591537,0.014075256,0,0,0.023113211,0,0.003511483
asv50531,0,0.002259002,0,0,0.015131035,0.016667244,0,0,0,0,0,0,0,0,0,0
asv06837,0,0,0,0,0,0,0,0,0,0,0.004691752,0,0,0,0,0
asv00860,0,0,0,0,0,0,0,0,0.004403153,0,0,0,0,0,0,0
asv01123,0,0,0,0,0,0,0,0,0.25479381,0,0,0,0,0,0,0
asv03002,0,0,0,0,0.003037175,0,0.021686388,0,0,0,0,0,0,0.005029675,0,0
